ticket_id,created_at,resolved_at,week,issue_type,priority,status,system_name,entity,request_channel,assigned_to,resolution_owner,time_spent_hours,sla_target_hours,change_type
TCK-00031,2026-06-04 06:00:00,,2026-W22,Change Request,P3,Open,MES,AC,Service Portal,Engineer 17,Engineer 07,8.84,72,Normal Change
TCK-00032,2026-06-01 13:00:00,,2026-W22,Change Request,P3,Pending,AP Portal,ATD,Email,Engineer 13,Engineer 08,4.75,72,Emergency Change
TCK-00033,2026-04-18 16:20:00,2026-04-20 03:20:00,2026-W15,Incident,P4,Closed,WMS,ATD,Email,Engineer 12,Engineer 12,24.02,120,NA
TCK-00034,2026-06-02 16:00:00,,2026-W22,Incident,P3,Pending,WMS,ATJ,Service Portal,Engineer 07,Engineer 16,11.96,72,NA
TCK-00035,2026-06-03 23:00:00,,2026-W22,Incident,P2,In Progress,API Gateway,ATJ,Teams,Engineer 08,Engineer 08,2.59,24,NA
TCK-00036,2026-04-07 12:20:00,2026-04-09 21:20:00,2026-W14,Incident,P1,Resolved,Quality System,ATD,Email,Engineer 11,Engineer 11,2.15,8,NA
TCK-00037,2026-04-10 13:31:00,2026-04-11 04:31:00,2026-W14,Service Request,P4,Cancelled,WMS,ATD,Monitoring,Engineer 18,Engineer 04,8.84,120,NA
TCK-00038,2026-05-25 16:16:00,2026-05-30 03:16:00,2026-W21,Change Request,P3,Closed,MES,ATD,Phone,Engineer 15,Engineer 15,16.0,72,Normal Change
TCK-00039,2026-06-02 21:00:00,,2026-W22,Incident,P3,Open,MES,ATJ,Email,Engineer 08,Engineer 11,19.94,72,NA
TCK-00040,2026-04-27 18:39:00,2026-04-29 08:39:00,2026-W17,Incident,P2,Resolved,Finance System,ATD II,Service Portal,Engineer 06,Engineer 06,2.46,24,NA
TCK-00041,2026-05-16 10:35:00,2026-05-18 06:35:00,2026-W19,Change Request,P4,Cancelled,Quality System,AC,Teams,Engineer 10,Engineer 02,19.56,120,Normal Change
TCK-00042,2026-05-29 23:00:00,,2026-W21,Service Request,P4,Pending,API Gateway,ATJ,Service Portal,Engineer 11,Engineer 15,19.3,120,NA
TCK-00043,2026-05-29 17:00:00,,2026-W21,Incident,P4,Open,MES,ATD,Monitoring,Engineer 11,Engineer 05,31.28,120,NA
TCK-00044,2026-05-29 10:00:00,,2026-W21,Change Request,P4,Open,API Gateway,ATD II,Monitoring,Engineer 03,Engineer 13,23.32,120,Normal Change
TCK-00045,2026-05-27 01:00:00,,2026-W21,Incident,P3,Pending,MES,ATD,Service Portal,Engineer 08,Engineer 09,9.27,72,NA
TCK-00046,2026-05-28 12:00:00,,2026-W21,Service Request,P4,Pending,MES,ATD,Phone,Engineer 09,Engineer 01,15.53,120,NA
TCK-00047,2026-05-25 14:06:00,2026-05-27 12:06:00,2026-W21,Change Request,P3,Closed,MES,AC,Email,Engineer 12,Engineer 12,9.22,72,Normal Change
TCK-00048,2026-04-17 18:45:00,2026-04-20 09:45:00,2026-W15,Hot Fix,P4,Resolved,HR System,ATJ,Monitoring,Engineer 02,Engineer 02,10.21,120,NA
TCK-00049,2026-05-03 15:02:00,2026-05-09 15:02:00,2026-W18,Change Request,P4,Closed,AP Portal,ATD,Service Portal,Engineer 16,Engineer 16,17.01,120,Standard Change
TCK-00050,2026-05-08 09:05:00,2026-05-09 11:05:00,2026-W18,Service Request,P1,Closed,MES,AC,Teams,Engineer 12,Engineer 12,1.68,8,NA
TCK-00051,2026-04-03 19:10:00,2026-04-07 03:10:00,2026-W13,Change Request,P3,Resolved,SAP,ATD,Service Portal,Engineer 11,Engineer 11,14.05,72,Normal Change
TCK-00052,2026-06-03 19:00:00,,2026-W22,Incident,P4,Open,MES,ATJ,Teams,Engineer 13,Engineer 09,1.88,120,NA
TCK-00053,2026-05-28 10:23:00,2026-05-30 21:23:00,2026-W21,Incident,P3,Closed,MES,AC,Email,Engineer 09,Engineer 09,14.18,72,NA
TCK-00054,2026-04-10 16:26:00,2026-04-13 21:26:00,2026-W14,Incident,P3,Resolved,AP Portal,ATD,Monitoring,Engineer 05,Engineer 05,0.25,72,NA
TCK-00055,2026-06-04 11:00:00,,2026-W22,Incident,P3,In Progress,WMS,ATD II,Phone,Engineer 18,Engineer 03,8.28,72,NA
TCK-00056,2026-06-04 04:00:00,,2026-W22,Incident,P2,In Progress,AP Portal,ATJ,Teams,Engineer 17,Engineer 04,1.7,24,NA
TCK-00057,2026-03-17 15:53:00,2026-03-18 18:53:00,2026-W11,Change Request,P3,Closed,WMS,ATD,Email,Engineer 16,Engineer 16,14.38,72,Emergency Change
TCK-00058,2026-06-03 10:00:00,,2026-W22,Incident,P1,Open,SAP,AC,Email,Engineer 03,Engineer 05,1.58,8,NA
TCK-00059,2026-06-03 23:00:00,,2026-W22,Change Request,P1,Pending,Quality System,ATD,Phone,Engineer 07,Engineer 10,1.4,8,Normal Change
TCK-00060,2026-06-01 06:00:00,,2026-W22,Incident,P3,In Progress,MES,ATD II,Service Portal,Engineer 17,Engineer 14,9.62,72,NA
TCK-00061,2026-04-05 12:25:00,2026-04-08 13:25:00,2026-W14,Incident,P3,Closed,Quality System,ATJ,Service Portal,Engineer 08,Engineer 08,8.22,72,NA
TCK-00062,2026-05-16 10:09:00,2026-05-17 19:09:00,2026-W19,Incident,P3,Closed,SAP,AC,Service Portal,Engineer 09,Engineer 09,11.89,72,NA
TCK-00063,2026-05-24 18:00:00,,2026-W21,Incident,P4,In Progress,API Gateway,ATD,Phone,Engineer 06,Engineer 01,22.34,120,NA
TCK-00064,2026-06-04 02:00:00,,2026-W22,Change Request,P3,Open,Finance System,ATD,Email,Engineer 02,Engineer 10,8.95,72,Standard Change
TCK-00065,2026-05-31 22:00:00,,2026-W22,Incident,P4,Open,Quality System,ATD II,Service Portal,Engineer 13,Engineer 04,15.53,120,NA
TCK-00066,2026-04-26 10:01:00,2026-04-27 06:01:00,2026-W17,Change Request,P3,Resolved,WMS,ATJ,Email,Engineer 08,Engineer 08,11.8,72,Normal Change
TCK-00067,2026-03-24 14:29:00,2026-03-24 20:29:00,2026-W12,Incident,P2,Resolved,WMS,ATD II,Service Portal,Engineer 10,Engineer 10,1.81,24,NA
TCK-00068,2026-03-21 14:40:00,2026-03-23 07:40:00,2026-W11,Change Request,P3,Closed,Quality System,ATD II,Teams,Engineer 11,Engineer 11,4.38,72,Normal Change
TCK-00069,2026-05-29 13:00:00,,2026-W21,Service Request,P2,Pending,AP Portal,ATD,Phone,Engineer 02,Engineer 15,2.89,24,NA
TCK-00070,2026-06-03 15:00:00,,2026-W22,Incident,P3,In Progress,MES,ATD,Phone,Engineer 15,Engineer 03,15.94,72,NA
TCK-00071,2026-06-02 14:00:00,,2026-W22,Service Request,P2,In Progress,SAP,AC,Teams,Engineer 08,Engineer 09,3.12,24,NA
TCK-00072,2026-04-12 14:52:00,2026-04-17 14:52:00,2026-W15,Incident,P3,Resolved,HR System,ATD,Phone,Engineer 18,Engineer 18,2.17,72,NA
TCK-00073,2026-04-11 13:06:00,2026-04-17 13:06:00,2026-W14,Incident,P4,Resolved,MES,ATJ,Phone,Engineer 09,Engineer 09,9.55,120,NA
TCK-00074,2026-06-03 00:00:00,,2026-W22,Service Request,P3,Pending,AP Portal,AC,Teams,Engineer 10,Engineer 18,14.42,72,NA
TCK-00075,2026-06-01 16:00:00,,2026-W22,Incident,P3,Pending,HR System,ATD II,Teams,Engineer 17,Engineer 15,5.65,72,NA
TCK-00076,2026-06-04 13:00:00,,2026-W22,Service Request,P3,In Progress,Quality System,ATD,Service Portal,Engineer 04,Engineer 15,12.95,72,NA
TCK-00077,2026-04-04 17:10:00,2026-04-07 17:10:00,2026-W13,Incident,P4,Cancelled,Quality System,ATD,Teams,Engineer 14,Engineer 10,18.26,120,NA
TCK-00078,2026-06-02 08:19:00,2026-06-03 23:19:00,2026-W22,Incident,P3,Resolved,API Gateway,ATD II,Teams,Engineer 15,Engineer 15,9.32,72,NA
TCK-00079,2026-06-04 08:00:00,,2026-W22,Service Request,P2,Pending,WMS,ATD II,Teams,Engineer 08,Engineer 01,3.42,24,NA
TCK-00080,2026-04-07 08:51:00,2026-04-11 17:51:00,2026-W14,Incident,P3,Resolved,MES,ATD,Monitoring,Engineer 13,Engineer 13,15.58,72,NA
TCK-00081,2026-03-23 16:18:00,2026-04-01 12:18:00,2026-W12,Incident,P4,Resolved,Quality System,ATJ,Monitoring,Engineer 05,Engineer 05,17.07,120,NA
TCK-00082,2026-06-01 08:00:00,,2026-W22,Service Request,P4,Open,MES,ATJ,Monitoring,Engineer 15,Engineer 15,22.58,120,NA
TCK-00083,2026-06-02 09:00:00,,2026-W22,Incident,P2,In Progress,API Gateway,ATJ,Email,Engineer 16,Engineer 08,3.22,24,NA
TCK-00084,2026-05-20 11:52:00,2026-05-23 14:52:00,2026-W20,Service Request,P3,Resolved,Quality System,ATD,Teams,Engineer 16,Engineer 16,6.34,72,NA
TCK-00085,2026-04-22 10:33:00,2026-04-26 20:33:00,2026-W16,Change Request,P4,Resolved,Finance System,ATD II,Service Portal,Engineer 07,Engineer 07,4.17,120,Normal Change
TCK-00086,2026-04-30 19:03:00,2026-05-01 03:03:00,2026-W17,Incident,P3,Closed,MES,AC,Monitoring,Engineer 14,Engineer 14,19.66,72,NA
TCK-00087,2026-04-02 18:12:00,2026-04-02 23:12:00,2026-W13,Incident,P2,Closed,MES,ATD II,Service Portal,Engineer 01,Engineer 01,4.86,24,NA
TCK-00088,2026-05-30 17:00:00,,2026-W21,Incident,P4,Pending,WMS,AC,Phone,Engineer 14,Engineer 13,7.62,120,NA
TCK-00089,2026-05-20 16:54:00,2026-05-22 21:54:00,2026-W20,Incident,P3,Closed,API Gateway,AC,Monitoring,Engineer 11,Engineer 11,13.92,72,NA
TCK-00090,2026-06-01 16:11:00,,2026-W22,Incident,P4,Pending,MES,ATD,Monitoring,Engineer 03,Engineer 10,9.68,120,NA
TCK-00091,2026-05-15 18:59:00,2026-05-16 01:59:00,2026-W19,Incident,P1,Closed,API Gateway,ATD,Email,Engineer 14,Engineer 14,2.07,8,NA
TCK-00092,2026-05-30 00:00:00,,2026-W21,Service Request,P4,Pending,MES,ATD,Monitoring,Engineer 01,Engineer 02,8.43,120,NA
TCK-00093,2026-04-15 12:01:00,2026-04-16 22:01:00,2026-W15,Incident,P2,Closed,SAP,ATJ,Service Portal,Engineer 07,Engineer 07,4.1,24,NA
TCK-00094,2026-05-28 13:59:00,2026-06-02 11:59:00,2026-W21,Incident,P4,Resolved,API Gateway,AC,Email,Engineer 13,Engineer 13,19.06,120,NA
TCK-00095,2026-06-02 12:00:00,,2026-W22,Hot Fix,P3,In Progress,SAP,ATD,Service Portal,Engineer 17,Engineer 18,1.63,72,NA
TCK-00096,2026-04-03 13:08:00,2026-04-04 16:08:00,2026-W13,Service Request,P3,Closed,AP Portal,ATJ,Phone,Engineer 13,Engineer 13,10.57,72,NA
TCK-00097,2026-06-01 20:00:00,,2026-W22,Service Request,P3,Open,MES,ATD II,Service Portal,Engineer 07,Engineer 15,5.62,72,NA
TCK-00098,2026-05-12 13:29:00,2026-05-16 01:29:00,2026-W19,Incident,P4,Cancelled,SAP,ATD,Service Portal,Engineer 08,Engineer 10,9.49,120,NA
TCK-00099,2026-06-04 13:00:00,,2026-W22,Incident,P4,In Progress,WMS,ATD II,Phone,Engineer 05,Engineer 11,10.43,120,NA
TCK-00100,2026-04-24 17:22:00,2026-04-26 13:22:00,2026-W16,Change Request,P1,Resolved,Finance System,ATD II,Email,Engineer 13,Engineer 13,1.25,8,Normal Change
TCK-00101,2026-04-29 11:49:00,2026-05-05 13:49:00,2026-W17,Incident,P4,Resolved,Finance System,AC,Monitoring,Engineer 17,Engineer 17,17.88,120,NA
TCK-00102,2026-06-02 13:00:00,,2026-W22,Incident,P2,Open,MES,ATJ,Monitoring,Engineer 11,Engineer 08,2.86,24,NA
TCK-00103,2026-03-24 12:22:00,2026-03-25 19:22:00,2026-W12,Incident,P4,Resolved,WMS,ATD II,Email,Engineer 09,Engineer 09,25.87,120,NA
TCK-00104,2026-04-17 15:49:00,2026-04-19 16:49:00,2026-W15,Service Request,P3,Closed,SAP,ATJ,Phone,Engineer 13,Engineer 13,6.62,72,NA
TCK-00105,2026-05-07 09:15:00,2026-05-10 15:15:00,2026-W18,Service Request,P3,Resolved,AP Portal,ATJ,Phone,Engineer 16,Engineer 16,11.71,72,NA
TCK-00106,2026-05-30 22:00:00,,2026-W21,Change Request,P4,In Progress,API Gateway,ATD,Monitoring,Engineer 08,Engineer 10,15.17,120,Normal Change
TCK-00107,2026-06-03 23:00:00,,2026-W22,Service Request,P3,Pending,Finance System,ATD II,Teams,Engineer 09,Engineer 05,0.25,72,NA
TCK-00108,2026-05-31 17:00:00,,2026-W22,Incident,P3,Pending,API Gateway,ATJ,Phone,Engineer 17,Engineer 07,6.74,72,NA
TCK-00109,2026-04-02 09:29:00,2026-04-05 07:29:00,2026-W13,Service Request,P3,Closed,SAP,AC,Service Portal,Engineer 14,Engineer 14,7.57,72,NA
TCK-00110,2026-03-24 12:06:00,2026-03-27 14:06:00,2026-W12,Service Request,P3,Cancelled,MES,ATD,Teams,Engineer 01,Engineer 12,8.52,72,NA
TCK-00111,2026-03-18 09:13:00,2026-03-19 00:13:00,2026-W11,Incident,P3,Closed,SAP,ATJ,Email,Engineer 07,Engineer 07,11.81,72,NA
TCK-00112,2026-06-01 18:00:00,,2026-W22,Incident,P4,Open,MES,AC,Teams,Engineer 01,Engineer 12,17.64,120,NA
TCK-00113,2026-05-31 09:00:00,,2026-W22,Change Request,P3,Pending,SAP,ATD,Email,Engineer 17,Engineer 06,15.0,72,Emergency Change
TCK-00114,2026-06-01 08:00:00,,2026-W22,Change Request,P3,In Progress,SAP,AC,Service Portal,Engineer 18,Engineer 06,1.7,72,Emergency Change
TCK-00115,2026-05-28 19:00:00,,2026-W21,Incident,P2,Pending,AP Portal,ATD II,Service Portal,Engineer 17,Engineer 09,3.86,24,NA
TCK-00116,2026-06-02 20:00:00,,2026-W22,Hot Fix,P1,In Progress,AP Portal,AC,Service Portal,Engineer 02,Engineer 04,0.78,8,NA
TCK-00117,2026-05-27 17:00:00,,2026-W21,Incident,P3,Open,AP Portal,ATD,Monitoring,Engineer 16,Engineer 17,6.23,72,NA
TCK-00118,2026-03-28 15:30:00,2026-03-30 16:30:00,2026-W12,Change Request,P3,Closed,SAP,ATD,Monitoring,Engineer 04,Engineer 04,8.35,72,Normal Change
TCK-00119,2026-06-02 12:00:00,,2026-W22,Service Request,P3,In Progress,MES,ATJ,Phone,Engineer 07,Engineer 06,15.6,72,NA
TCK-00120,2026-05-11 08:07:00,2026-05-17 04:07:00,2026-W19,Change Request,P4,Resolved,MES,ATJ,Monitoring,Engineer 02,Engineer 02,20.3,120,Emergency Change
TCK-00121,2026-04-10 15:39:00,2026-04-12 20:39:00,2026-W14,Incident,P3,Closed,Finance System,ATD,Teams,Engineer 02,Engineer 02,16.72,72,NA
TCK-00122,2026-06-04 11:00:00,,2026-W22,Incident,P4,Pending,AP Portal,ATD,Monitoring,Engineer 14,Engineer 13,30.88,120,NA
TCK-00123,2026-05-31 05:00:00,,2026-W22,Hot Fix,P3,Pending,MES,ATD II,Email,Engineer 05,Engineer 15,10.22,72,NA
TCK-00124,2026-06-04 02:00:00,,2026-W22,Hot Fix,P2,In Progress,API Gateway,ATJ,Service Portal,Engineer 15,Engineer 09,5.99,24,NA
TCK-00125,2026-04-01 13:19:00,2026-04-06 09:19:00,2026-W13,Change Request,P4,Closed,MES,ATJ,Service Portal,Engineer 08,Engineer 08,20.21,120,Normal Change
TCK-00126,2026-05-27 09:00:00,,2026-W21,Service Request,P3,In Progress,MES,ATD,Service Portal,Engineer 14,Engineer 02,10.62,72,NA
TCK-00127,2026-03-20 12:11:00,2026-03-24 06:11:00,2026-W11,Service Request,P4,Resolved,API Gateway,ATD II,Email,Engineer 14,Engineer 14,22.99,120,NA
TCK-00128,2026-06-04 02:00:00,,2026-W22,Incident,P3,Open,SAP,AC,Teams,Engineer 15,Engineer 08,5.81,72,NA
TCK-00129,2026-04-24 12:45:00,2026-04-26 18:45:00,2026-W16,Incident,P2,Closed,SAP,AC,Phone,Engineer 12,Engineer 12,4.55,24,NA
TCK-00130,2026-05-31 14:00:00,,2026-W22,Change Request,P3,In Progress,Finance System,ATD,Email,Engineer 08,Engineer 03,7.61,72,Emergency Change
TCK-00131,2026-06-04 13:00:00,,2026-W22,Service Request,P3,In Progress,API Gateway,ATD,Phone,Engineer 09,Engineer 09,11.21,72,NA
TCK-00132,2026-06-03 11:00:00,,2026-W22,Incident,P3,Open,AP Portal,ATD,Service Portal,Engineer 16,Engineer 04,12.58,72,NA
TCK-00133,2026-06-01 15:00:00,,2026-W22,Service Request,P3,In Progress,SAP,ATD,Email,Engineer 17,Engineer 12,3.78,72,NA
TCK-00134,2026-05-30 01:00:00,,2026-W21,Incident,P4,Pending,WMS,ATD II,Email,Engineer 14,Engineer 18,10.6,120,NA
TCK-00135,2026-05-18 11:30:00,2026-05-22 04:30:00,2026-W20,Change Request,P2,Resolved,MES,AC,Email,Engineer 16,Engineer 16,4.71,24,Normal Change
TCK-00136,2026-04-21 14:30:00,2026-04-22 22:30:00,2026-W16,Service Request,P2,Closed,MES,ATD II,Service Portal,Engineer 03,Engineer 03,2.93,24,NA
TCK-00137,2026-05-14 08:51:00,2026-05-17 13:51:00,2026-W19,Service Request,P3,Closed,WMS,AC,Service Portal,Engineer 12,Engineer 12,5.04,72,NA
TCK-00138,2026-05-28 10:00:00,,2026-W21,Incident,P4,Pending,Quality System,ATJ,Service Portal,Engineer 05,Engineer 17,9.06,120,NA
TCK-00139,2026-06-04 11:33:00,,2026-W22,Change Request,P3,In Progress,AP Portal,ATD II,Monitoring,Engineer 05,Engineer 01,10.85,72,Standard Change
TCK-00140,2026-05-03 17:31:00,2026-05-05 12:31:00,2026-W18,Service Request,P2,Resolved,SAP,ATJ,Monitoring,Engineer 13,Engineer 13,5.46,24,NA
TCK-00141,2026-05-11 08:23:00,2026-05-12 17:23:00,2026-W19,Incident,P2,Closed,Quality System,AC,Phone,Engineer 11,Engineer 11,3.06,24,NA
TCK-00142,2026-06-03 09:00:00,,2026-W22,Change Request,P1,In Progress,MES,AC,Service Portal,Engineer 09,Engineer 13,0.89,8,Normal Change
TCK-00143,2026-05-28 19:26:00,2026-05-29 03:26:00,2026-W21,Change Request,P3,Closed,HR System,ATD II,Service Portal,Engineer 05,Engineer 05,13.75,72,Standard Change
TCK-00144,2026-05-31 16:00:00,,2026-W22,Service Request,P3,Pending,WMS,ATJ,Teams,Engineer 17,Engineer 17,10.99,72,NA
TCK-00145,2026-04-04 16:59:00,2026-04-05 10:59:00,2026-W13,Change Request,P1,Closed,MES,ATD,Service Portal,Engineer 11,Engineer 11,1.85,8,Normal Change
TCK-00146,2026-03-19 08:21:00,2026-03-20 03:21:00,2026-W11,Incident,P1,Resolved,AP Portal,ATD,Monitoring,Engineer 06,Engineer 06,0.79,8,NA
TCK-00147,2026-06-02 17:00:00,,2026-W22,Incident,P3,Open,HR System,AC,Phone,Engineer 08,Engineer 17,9.33,72,NA
TCK-00148,2026-04-07 15:57:00,2026-04-08 15:57:00,2026-W14,Service Request,P2,Closed,API Gateway,AC,Monitoring,Engineer 18,Engineer 18,2.3,24,NA
TCK-00149,2026-04-16 09:58:00,2026-04-17 14:58:00,2026-W15,Incident,P2,Closed,API Gateway,ATD II,Monitoring,Engineer 12,Engineer 12,5.33,24,NA
TCK-00150,2026-05-23 17:33:00,2026-05-27 23:33:00,2026-W20,Service Request,P3,Resolved,API Gateway,AC,Service Portal,Engineer 07,Engineer 07,8.82,72,NA
TCK-00151,2026-05-07 17:04:00,2026-05-08 21:04:00,2026-W18,Service Request,P3,Resolved,HR System,ATD,Phone,Engineer 13,Engineer 13,14.02,72,NA
TCK-00152,2026-05-18 08:54:00,2026-05-19 06:54:00,2026-W20,Change Request,P4,Resolved,Finance System,ATD II,Phone,Engineer 06,Engineer 06,32.98,120,Normal Change
TCK-00153,2026-05-31 00:00:00,,2026-W22,Service Request,P3,In Progress,WMS,ATJ,Service Portal,Engineer 03,Engineer 08,17.92,72,NA
TCK-00154,2026-06-03 16:00:00,,2026-W22,Incident,P4,In Progress,MES,ATJ,Monitoring,Engineer 04,Engineer 05,14.0,120,NA
TCK-00155,2026-06-02 06:00:00,,2026-W22,Service Request,P4,In Progress,API Gateway,ATD II,Service Portal,Engineer 07,Engineer 01,18.75,120,NA
TCK-00156,2026-06-04 12:00:00,,2026-W22,Service Request,P3,In Progress,Finance System,AC,Service Portal,Engineer 08,Engineer 09,7.53,72,NA
TCK-00157,2026-05-31 17:00:00,,2026-W22,Incident,P4,In Progress,MES,ATD II,Email,Engineer 04,Engineer 04,11.42,120,NA
TCK-00158,2026-06-04 11:00:00,,2026-W22,Incident,P4,Pending,MES,ATD II,Phone,Engineer 07,Engineer 07,8.52,120,NA
TCK-00159,2026-03-20 17:23:00,2026-03-24 09:23:00,2026-W11,Incident,P3,Closed,SAP,ATD,Email,Engineer 11,Engineer 11,12.47,72,NA
TCK-00160,2026-05-20 17:13:00,2026-05-21 14:13:00,2026-W20,Incident,P3,Resolved,Finance System,ATD,Email,Engineer 13,Engineer 13,5.06,72,NA
TCK-00161,2026-05-28 03:00:00,,2026-W21,Incident,P4,Pending,SAP,ATJ,Service Portal,Engineer 14,Engineer 09,12.86,120,NA
TCK-00162,2026-05-22 18:25:00,2026-05-24 18:25:00,2026-W20,Change Request,P1,Resolved,MES,AC,Teams,Engineer 12,Engineer 12,1.07,8,Normal Change
TCK-00163,2026-04-15 09:43:00,2026-04-17 03:43:00,2026-W15,Service Request,P2,Closed,HR System,AC,Teams,Engineer 13,Engineer 13,3.61,24,NA
TCK-00164,2026-06-03 08:00:00,,2026-W22,Incident,P3,Pending,AP Portal,AC,Email,Engineer 08,Engineer 11,13.85,72,NA
TCK-00165,2026-04-12 16:31:00,2026-04-14 21:31:00,2026-W15,Service Request,P1,Closed,SAP,ATJ,Phone,Engineer 07,Engineer 07,0.4,8,NA
TCK-00166,2026-06-03 16:00:00,,2026-W22,Change Request,P1,Open,MES,AC,Monitoring,Engineer 15,Engineer 16,0.8,8,Normal Change
TCK-00167,2026-04-14 16:49:00,2026-04-16 07:49:00,2026-W15,Service Request,P2,Resolved,WMS,ATJ,Phone,Engineer 08,Engineer 08,2.64,24,NA
TCK-00168,2026-06-02 11:00:00,,2026-W22,Incident,P3,In Progress,Quality System,ATJ,Teams,Engineer 15,Engineer 13,22.46,72,NA
