week,system_name,entity,engineer,fte_used,workload_hours
2026-W12,WMS,AC,Engineer 05,0.53,21.34
2026-W11,Finance System,AC,Engineer 12,0.76,30.43
2026-W22,SAP,ATJ,Engineer 14,0.8,32.02
2026-W21,WMS,ATD,Engineer 01,0.48,19.31
2026-W20,MES,ATD II,Engineer 07,0.62,24.91
2026-W19,Finance System,AC,Engineer 13,0.74,29.61
2026-W18,MES,ATJ,Engineer 03,1.08,43.28
2026-W17,Finance System,ATD II,Engineer 04,0.84,33.45
2026-W16,SAP,ATJ,Engineer 05,0.9,35.84
2026-W15,Quality System,AC,Engineer 01,0.24,9.47
2026-W14,MES,ATJ,Engineer 06,0.79,31.61
2026-W13,API Gateway,ATJ,Engineer 17,0.63,25.04
2026-W12,SAP,ATJ,Engineer 03,0.56,22.38
2026-W11,API Gateway,ATD II,Engineer 03,1.47,58.6
2026-W22,API Gateway,ATJ,Engineer 05,0.39,15.75
2026-W21,AP Portal,AC,Engineer 13,0.42,16.69
2026-W20,SAP,ATD,Engineer 08,0.25,9.86
2026-W19,SAP,AC,Engineer 17,0.4,16.03
2026-W18,SAP,ATJ,Engineer 18,1.19,47.51
2026-W17,WMS,ATD,Engineer 13,0.69,27.66
2026-W16,Finance System,ATD,Engineer 11,0.93,37.27
2026-W15,HR System,ATJ,Engineer 01,0.36,14.59
2026-W14,SAP,ATD II,Engineer 10,0.33,13.39
2026-W13,AP Portal,ATD II,Engineer 05,0.22,8.88
2026-W12,MES,ATD,Engineer 06,0.47,18.71
2026-W11,SAP,AC,Engineer 11,0.59,23.66
2026-W22,MES,ATJ,Engineer 11,1.31,52.48
2026-W21,WMS,ATD II,Engineer 03,0.44,17.63
2026-W20,HR System,AC,Engineer 06,0.34,13.55
2026-W19,API Gateway,ATD II,Engineer 13,0.41,16.42
2026-W18,WMS,ATD,Engineer 10,0.91,36.57
2026-W17,SAP,ATJ,Engineer 08,0.86,34.53
2026-W16,HR System,ATD,Engineer 17,0.43,17.29
2026-W15,WMS,ATD,Engineer 02,0.58,23.1
2026-W14,Finance System,ATD II,Engineer 05,0.81,32.32
2026-W13,MES,ATD,Engineer 03,0.37,14.94
2026-W12,WMS,ATD,Engineer 13,0.78,31.13
2026-W11,MES,AC,Engineer 12,0.59,23.72
2026-W22,MES,AC,Engineer 04,0.93,37.14
2026-W21,AP Portal,AC,Engineer 07,0.22,8.94
2026-W20,AP Portal,ATJ,Engineer 03,0.74,29.68
2026-W19,MES,ATD,Engineer 08,0.71,28.33
2026-W18,WMS,ATD II,Engineer 15,0.22,8.82
2026-W17,MES,ATD,Engineer 06,0.96,38.49
2026-W16,WMS,ATD,Engineer 04,0.66,26.29
2026-W15,SAP,ATD II,Engineer 07,0.66,26.28
2026-W14,MES,ATD,Engineer 03,1.4,56.08
2026-W13,HR System,ATJ,Engineer 04,0.27,10.87
2026-W12,MES,ATJ,Engineer 05,1.13,45.35
2026-W11,Quality System,ATD II,Engineer 04,0.77,30.99
2026-W22,MES,ATD II,Engineer 14,0.87,34.88
2026-W21,MES,AC,Engineer 10,0.31,12.45
2026-W20,Finance System,ATD II,Engineer 16,0.39,15.4
2026-W19,MES,AC,Engineer 03,0.82,32.68
2026-W18,SAP,ATD,Engineer 07,1.17,46.8
2026-W17,AP Portal,ATD,Engineer 11,0.68,27.26
2026-W16,HR System,AC,Engineer 09,0.77,30.88
2026-W15,SAP,ATD,Engineer 04,0.29,11.53
2026-W14,Quality System,ATD,Engineer 07,1.07,42.77
2026-W13,SAP,AC,Engineer 12,0.91,36.32
2026-W12,WMS,AC,Engineer 05,0.62,24.71
2026-W11,API Gateway,AC,Engineer 18,0.37,14.6
2026-W22,Quality System,ATJ,Engineer 05,0.43,17.36
2026-W21,MES,ATD II,Engineer 06,1.2,48.1
2026-W20,HR System,ATD II,Engineer 07,0.49,19.47
2026-W19,Quality System,AC,Engineer 11,0.53,21.04
2026-W18,Quality System,ATD,Engineer 06,0.49,19.47
2026-W17,SAP,ATD,Engineer 11,0.21,8.54
2026-W16,Quality System,ATJ,Engineer 11,0.92,36.69
2026-W15,MES,ATJ,Engineer 05,0.64,25.67
2026-W14,AP Portal,AC,Engineer 12,0.49,19.6
2026-W13,SAP,ATJ,Engineer 02,0.56,22.27
2026-W12,SAP,ATJ,Engineer 02,0.94,37.7
2026-W11,SAP,AC,Engineer 17,0.82,32.66
2026-W22,Finance System,ATJ,Engineer 06,0.53,21.04
2026-W21,API Gateway,AC,Engineer 08,0.64,25.51
2026-W20,MES,ATJ,Engineer 02,0.73,29.0
2026-W19,SAP,ATJ,Engineer 08,0.82,32.94
2026-W18,AP Portal,ATD,Engineer 02,0.22,8.64
2026-W17,Finance System,ATD II,Engineer 05,0.35,13.95
2026-W16,WMS,ATD,Engineer 10,0.81,32.45
2026-W15,MES,ATJ,Engineer 07,0.72,28.61
2026-W14,WMS,ATD,Engineer 11,1.3,51.9
2026-W13,Finance System,AC,Engineer 09,0.59,23.64
2026-W12,API Gateway,ATD II,Engineer 14,0.76,30.38
2026-W11,AP Portal,ATD II,Engineer 02,0.83,33.14
2026-W22,MES,ATD,Engineer 14,0.3,11.85
2026-W21,SAP,AC,Engineer 05,0.26,10.58
2026-W20,SAP,ATD,Engineer 06,1.03,41.19
2026-W19,Quality System,AC,Engineer 12,0.54,21.78
2026-W18,Quality System,ATD II,Engineer 07,1.01,40.46
2026-W17,SAP,ATD II,Engineer 05,0.48,19.18
2026-W16,API Gateway,ATD,Engineer 13,0.62,24.83
2026-W15,HR System,AC,Engineer 09,0.66,26.22
2026-W14,SAP,AC,Engineer 08,0.48,19.16
2026-W13,SAP,ATJ,Engineer 18,0.63,25.1
2026-W12,Quality System,ATJ,Engineer 03,0.27,10.69
2026-W11,API Gateway,ATJ,Engineer 11,0.42,16.67
2026-W22,SAP,ATJ,Engineer 14,0.8,32.08
2026-W21,HR System,ATD,Engineer 06,0.32,12.67
2026-W20,SAP,ATJ,Engineer 11,0.49,19.72
2026-W19,MES,ATD,Engineer 10,0.55,21.88
2026-W18,API Gateway,AC,Engineer 05,0.59,23.55
2026-W17,Finance System,ATD,Engineer 09,0.4,15.82
2026-W16,Finance System,ATD,Engineer 13,0.29,11.43
2026-W15,SAP,ATJ,Engineer 06,0.59,23.78
2026-W14,SAP,AC,Engineer 08,0.35,13.84
2026-W13,SAP,ATJ,Engineer 02,0.68,27.26
2026-W12,HR System,ATD II,Engineer 06,0.92,36.82
2026-W11,AP Portal,AC,Engineer 11,0.89,35.7
2026-W22,WMS,ATD,Engineer 07,0.73,29.25
2026-W21,AP Portal,ATJ,Engineer 07,0.38,15.03
2026-W20,MES,ATJ,Engineer 01,0.31,12.4
2026-W19,SAP,ATD II,Engineer 13,0.88,35.18
2026-W18,Finance System,ATD II,Engineer 16,0.82,32.81
2026-W17,SAP,ATJ,Engineer 03,0.4,16.2
2026-W16,MES,ATD,Engineer 14,0.9,36.07
2026-W15,WMS,AC,Engineer 12,0.54,21.73
2026-W14,MES,ATD II,Engineer 02,1.25,50.11
2026-W13,AP Portal,ATD II,Engineer 14,0.23,9.26
2026-W12,API Gateway,ATJ,Engineer 12,0.8,32.0
2026-W11,Finance System,ATD,Engineer 11,0.82,32.79
2026-W22,SAP,ATD,Engineer 13,0.61,24.53
2026-W21,API Gateway,AC,Engineer 11,1.36,54.58
2026-W20,SAP,ATD,Engineer 03,0.75,29.93
2026-W19,Finance System,ATD II,Engineer 09,0.77,30.91
2026-W18,API Gateway,ATD,Engineer 13,0.74,29.45
2026-W17,MES,ATD II,Engineer 17,0.21,8.47
2026-W16,SAP,ATD II,Engineer 18,1.04,41.73
2026-W15,MES,ATJ,Engineer 02,0.69,27.68
2026-W14,SAP,AC,Engineer 05,0.81,32.48
2026-W13,Quality System,ATD,Engineer 15,0.63,25.13
2026-W12,HR System,AC,Engineer 07,0.6,23.91
2026-W11,SAP,AC,Engineer 18,0.66,26.48
2026-W22,Finance System,ATD II,Engineer 07,1.44,57.65
2026-W21,API Gateway,ATD,Engineer 13,0.24,9.7
2026-W20,SAP,ATD II,Engineer 01,0.56,22.25
2026-W19,MES,ATD,Engineer 09,0.62,24.82
2026-W18,HR System,AC,Engineer 03,1.19,47.79
2026-W17,MES,ATD II,Engineer 01,0.49,19.53
2026-W16,HR System,ATD,Engineer 03,0.26,10.54
2026-W15,Finance System,ATD,Engineer 17,0.24,9.69
2026-W14,HR System,ATJ,Engineer 09,0.26,10.5
2026-W13,MES,AC,Engineer 03,0.96,38.59
2026-W12,MES,ATD II,Engineer 10,0.69,27.67
2026-W11,MES,ATD II,Engineer 16,0.83,33.37
2026-W22,MES,ATD,Engineer 18,0.5,19.83
2026-W21,MES,AC,Engineer 06,0.7,27.92
2026-W20,API Gateway,ATD,Engineer 08,1.57,62.83
2026-W19,Finance System,ATD II,Engineer 08,0.93,37.29
2026-W18,HR System,ATJ,Engineer 17,0.25,10.18
2026-W17,AP Portal,ATD II,Engineer 07,0.94,37.65
2026-W16,MES,ATD,Engineer 03,0.55,21.98
2026-W15,WMS,ATD,Engineer 06,0.44,17.59
2026-W14,Quality System,ATJ,Engineer 06,0.4,16.01
2026-W13,SAP,ATD,Engineer 15,0.76,30.29
2026-W12,MES,ATD II,Engineer 04,0.79,31.65
2026-W11,AP Portal,AC,Engineer 10,0.26,10.4
2026-W22,Quality System,ATJ,Engineer 04,0.51,20.5
2026-W21,MES,ATJ,Engineer 13,0.61,24.24
2026-W20,Finance System,ATD,Engineer 07,0.71,28.55
2026-W19,Quality System,AC,Engineer 08,0.93,37.21
2026-W18,API Gateway,ATJ,Engineer 10,0.58,23.11
2026-W17,Finance System,ATD II,Engineer 11,0.9,35.9
2026-W16,SAP,ATJ,Engineer 05,0.78,31.26
2026-W15,MES,ATD,Engineer 17,0.24,9.45
2026-W14,MES,AC,Engineer 07,1.06,42.4
2026-W13,API Gateway,ATD II,Engineer 03,0.44,17.56
2026-W12,MES,ATD II,Engineer 02,1.51,60.28
2026-W11,API Gateway,ATJ,Engineer 06,0.34,13.48
2026-W22,API Gateway,ATJ,Engineer 02,0.45,17.87
2026-W21,SAP,ATD,Engineer 10,0.45,18.04
2026-W20,API Gateway,AC,Engineer 15,0.34,13.68
2026-W19,Finance System,ATD,Engineer 07,0.71,28.26
2026-W18,SAP,ATD II,Engineer 16,0.29,11.6
2026-W17,WMS,AC,Engineer 15,0.53,21.09
2026-W16,Quality System,AC,Engineer 15,0.26,10.25
2026-W15,SAP,ATD II,Engineer 11,0.31,12.49
2026-W14,HR System,ATD,Engineer 16,0.27,10.68
2026-W13,WMS,ATJ,Engineer 11,0.53,21.26
2026-W12,AP Portal,AC,Engineer 11,0.4,16.17
2026-W11,SAP,AC,Engineer 15,0.7,28.04
2026-W22,Quality System,ATD II,Engineer 07,1.02,40.98
2026-W21,SAP,AC,Engineer 02,0.77,30.66
2026-W20,AP Portal,ATD II,Engineer 10,0.76,30.23
2026-W19,HR System,ATD,Engineer 08,0.91,36.53
2026-W18,AP Portal,AC,Engineer 09,0.54,21.57
2026-W17,Quality System,ATD,Engineer 14,0.21,8.41
2026-W16,MES,ATD,Engineer 12,1.22,48.97
2026-W15,MES,ATD II,Engineer 17,0.87,34.81
2026-W14,Quality System,ATD,Engineer 10,0.58,23.32
2026-W13,SAP,ATD II,Engineer 05,0.33,13.31
2026-W12,WMS,AC,Engineer 11,0.46,18.31
2026-W11,MES,ATD,Engineer 06,1.06,42.48
2026-W22,HR System,ATD,Engineer 11,1.4,55.93
2026-W21,MES,ATJ,Engineer 01,0.48,19.23
2026-W20,MES,ATJ,Engineer 16,0.77,30.93
2026-W19,WMS,ATD II,Engineer 06,0.78,31.27
2026-W18,API Gateway,ATJ,Engineer 04,0.8,32.12
2026-W17,AP Portal,ATJ,Engineer 13,0.57,22.99
2026-W16,MES,AC,Engineer 09,0.66,26.36
2026-W15,Quality System,ATJ,Engineer 08,0.32,12.95
2026-W14,MES,ATD II,Engineer 15,0.32,12.93
2026-W13,SAP,ATD II,Engineer 06,0.69,27.74
2026-W12,HR System,ATD,Engineer 14,0.77,30.98
2026-W11,Finance System,ATJ,Engineer 09,0.23,9.2
2026-W22,MES,ATD,Engineer 13,0.89,35.48
2026-W21,SAP,ATJ,Engineer 01,0.4,16.2
2026-W20,WMS,ATD,Engineer 07,0.94,37.42
2026-W19,AP Portal,AC,Engineer 18,0.23,9.28
2026-W18,SAP,AC,Engineer 12,0.58,23.11
2026-W17,MES,AC,Engineer 02,0.31,12.4
2026-W16,Quality System,AC,Engineer 06,0.71,28.52
2026-W15,Finance System,ATJ,Engineer 18,0.59,23.54
2026-W14,Quality System,ATD II,Engineer 12,0.75,30.11
2026-W13,WMS,ATD II,Engineer 11,0.59,23.75
2026-W12,API Gateway,ATD II,Engineer 12,0.94,37.44
2026-W11,WMS,ATJ,Engineer 02,0.57,22.7
